episode,step,agent_0,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,agent_9
0,0,0.44250280906756717,0.49172249346971514,0.49738831222057345,0.42550019750992457,0.5444888573884964,0.4318329072992007,0.5689916916688283,0.4805896765987078,0.5350202431281408,0.49910795509815215
1,0,0.443153297106425,0.49207913140455883,0.498677933216095,0.4275622448325157,0.5423104991515477,0.4323120098312696,0.5699262301127116,0.47960486203432084,0.53348419825236,0.4983878925442696
2,0,0.44317879339059196,0.4898960193991661,0.49895893305540084,0.42913949807484947,0.5400643980503083,0.43240877280632656,0.5708619111776352,0.47646971384684245,0.531267976562182,0.4983912576238314
3,0,0.44346033930778506,0.4918374103307724,0.49944755047559736,0.4263468959927559,0.5419262631734212,0.4331072279810905,0.5709535060326258,0.47647814512252806,0.5288465875387192,0.49866707156101864
4,0,0.44342967092990876,0.49155546019474666,0.4984722718596458,0.42619384000698723,0.5416385056575139,0.4327910413344701,0.5706001689036687,0.47362380494674045,0.5287152947982152,0.4986450598637263
5,0,0.4431733140349388,0.4941240140795708,0.49806804607311883,0.4249430172642072,0.5423349485794703,0.4327780055006345,0.5709670211871465,0.47503805210193,0.5332742061217626,0.4985762432217598
6,0,0.443270209133625,0.4948859480023384,0.49737567027409874,0.4231234728296598,0.5429834342002868,0.43197205116351445,0.5711075687408447,0.4747063632806142,0.5299426319201788,0.4982898458838463
7,0,0.4430813549955686,0.49597809890906014,0.4976142755150795,0.42536381592353184,0.5405545423428217,0.4300282324353854,0.5715544797976811,0.4746951859196027,0.532871240178744,0.4981626692414284
8,0,0.4430724048614502,0.4940875695149104,0.49660305311282477,0.4236759032805761,0.5414017583926519,0.4319089142481486,0.5720671252409617,0.4755977353453636,0.5332883505026499,0.49791206578413644
9,0,0.4429936451713244,0.4949248483777046,0.49645873069763186,0.4249224904179573,0.5400892567634582,0.43074730376402537,0.5721980796257655,0.47624011754989626,0.5334335992733638,0.4975654412309329
10,0,0.4432607716321945,0.49591552883386614,0.49595498512188596,0.42210395793120065,0.5416760917504628,0.4324973874290784,0.5722861886024475,0.476112535794576,0.5301234565178553,0.4974230090777079
11,0,0.4434857111175855,0.4961205062270164,0.49594496528307597,0.42244986136754353,0.5403368383646011,0.4317094344894091,0.5727463992436727,0.4775897123416265,0.5342759839693705,0.49726884682973227
12,0,0.4434329238533974,0.4981165649493535,0.49589251140753426,0.42275339990854266,0.540025150179863,0.43066470791896183,0.5730679311354955,0.4773121256629626,0.5318193423748017,0.49722284704446795
13,0,0.44337109913428624,0.49487432271242143,0.496056710978349,0.4238783659537633,0.5394678169488907,0.4319499366482099,0.5724972665309906,0.4776722062627474,0.5335145137707392,0.49719936192035674
14,0,0.44299274921417237,0.4955224531888962,0.49548485517501833,0.41894904514153797,0.5413343644142151,0.4297436604897181,0.5724286558230718,0.47799682468175886,0.5322291745742163,0.4971656593680382
15,0,0.44306073486804964,0.4960016078750292,0.4953829477230708,0.4214607389767965,0.5424647798140844,0.4321922648946444,0.572086696823438,0.4772111420830091,0.5333646527926127,0.49685835858186084
16,0,0.4430266093214353,0.49953582723935447,0.4955658143758774,0.42198727269967395,0.5409331419070562,0.4324885273973147,0.5718772890170415,0.4761403828859329,0.5307529719670614,0.49666472266117734
