episode,step,reward,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7
0,0,-0.375,1,1,0,0,0,0,1,0,0.0,0.18666666666666645,0.4100000000000007,0.05,0.030000000000000002,0.2566666666666664,0.10999999999999992,0.0033333333333333335
0,1,-0.5,1,1,0,0,1,0,1,0,0.0,0.18666666666666645,0.4100000000000007,0.05,0.030000000000000002,0.2566666666666664,0.10999999999999992,0.0033333333333333335
0,2,-0.625,1,1,0,1,1,0,0,1,0.0,0.18666666666666645,0.4100000000000007,0.05,0.030000000000000002,0.2566666666666664,0.10999999999999992,0.0033333333333333335
0,3,-0.125,0,0,0,0,0,1,0,0,0.0,0.18666666666666645,0.4100000000000007,0.05,0.030000000000000002,0.2566666666666664,0.10999999999999992,0.0033333333333333335
0,4,-0.625,1,1,0,1,1,0,1,0,0.0,0.18666666666666645,0.4100000000000007,0.05,0.030000000000000002,0.2566666666666664,0.10999999999999992,0.0033333333333333335
0,5,-0.375,0,0,1,1,0,1,0,0,0.0,0.18666666666666645,0.4100000000000007,0.05,0.030000000000000002,0.2566666666666664,0.10999999999999992,0.0033333333333333335
0,6,-0.625,1,0,1,1,0,0,1,1,0.0,0.18666666666666645,0.4100000000000007,0.05,0.030000000000000002,0.2566666666666664,0.10999999999999992,0.0033333333333333335
0,7,-0.75,1,1,0,1,1,1,0,1,0.0,0.18666666666666645,0.4100000000000007,0.05,0.030000000000000002,0.2566666666666664,0.10999999999999992,0.0033333333333333335
0,8,-0.5,1,0,0,1,0,0,1,1,0.0,0.18666666666666645,0.4100000000000007,0.05,0.030000000000000002,0.2566666666666664,0.10999999999999992,0.0033333333333333335
0,9,-0.5,1,1,1,0,1,0,0,0,0.0,0.18666666666666645,0.4100000000000007,0.05,0.030000000000000002,0.2566666666666664,0.10999999999999992,0.0033333333333333335
0,10,-0.25,0,1,1,0,0,0,0,0,0.0,0.18666666666666645,0.4100000000000007,0.05,0.030000000000000002,0.2566666666666664,0.10999999999999992,0.0033333333333333335
0,11,-0.625,0,1,0,1,1,1,1,0,0.0,0.18666666666666645,0.4100000000000007,0.05,0.030000000000000002,0.2566666666666664,0.10999999999999992,0.0033333333333333335
0,12,-0.25,0,1,0,0,1,0,0,0,0.0,0.18666666666666645,0.4100000000000007,0.05,0.030000000000000002,0.2566666666666664,0.10999999999999992,0.0033333333333333335
