episode,step,reward,action_0,action_1,action_2,age_0,age_1,age_2
0,0,0.0,0,0,0,0.005,0.005,0.005
0,1,-0.3333333333333333,0,1,0,0.01,0.0,0.01
0,2,-0.6666666666666666,1,0,1,0.015,0.005,0.015
0,3,0.0,0,0,1,0.02,0.01,0.02
0,4,0.0,1,0,0,0.025,0.015,0.025
0,5,-0.6666666666666666,1,0,1,0.030000000000000002,0.02,0.030000000000000002
0,6,-0.6666666666666666,1,1,1,0.035,0.025,0.035
0,7,-0.6666666666666666,1,0,1,0.04,0.030000000000000002,0.04
0,8,-0.3333333333333333,0,0,1,0.045,0.035,0.0
0,9,-0.3333333333333333,0,1,1,0.049999999999999996,0.04,0.0
0,10,0.0,0,0,0,0.05499999999999999,0.045,0.005
0,11,0.0,0,0,1,0.05999999999999999,0.049999999999999996,0.01
0,12,0.0,1,0,0,0.06499999999999999,0.05499999999999999,0.015
0,13,0.0,1,0,0,0.06999999999999999,0.05999999999999999,0.02
0,14,-0.3333333333333333,1,0,0,0.0,0.06499999999999999,0.025
0,15,-0.3333333333333333,0,0,1,0.005,0.06999999999999999,0.0
0,16,0.0,0,0,0,0.01,0.075,0.005
0,17,0.0,0,0,1,0.015,0.08,0.01
0,18,0.0,0,0,0,0.02,0.085,0.015
0,19,-0.6666666666666666,1,0,1,0.025,0.09000000000000001,0.02
0,20,0.0,1,0,0,0.030000000000000002,0.09500000000000001,0.025
0,21,0.0,1,0,0,0.035,0.10000000000000002,0.030000000000000002
0,22,-0.3333333333333333,1,0,0,0.0,0.10500000000000002,0.035
0,23,0.0,1,1,0,0.005,0.11000000000000003,0.04
0,24,-0.6666666666666666,1,0,1,0.01,0.11500000000000003,0.045
0,25,-0.3333333333333333,0,0,1,0.015,0.12000000000000004,0.0
0,26,-0.3333333333333333,0,1,0,0.02,0.0,0.005
0,27,-0.6666666666666666,0,1,1,0.025,0.005,0.01
0,28,-0.3333333333333333,1,1,0,0.030000000000000002,0.0,0.015
0,29,0.0,0,0,0,0.035,0.005,0.02
0,30,0.0,0,0,0,0.04,0.01,0.025
0,31,0.0,1,0,0,0.045,0.015,0.030000000000000002
0,32,-0.6666666666666666,1,1,1,0.049999999999999996,0.02,0.035
0,33,-0.3333333333333333,0,0,1,0.05499999999999999,0.025,0.0
0,34,0.0,1,0,1,0.05999999999999999,0.030000000000000002,0.005
0,35,0.0,0,0,0,0.06499999999999999,0.035,0.01
0,36,-1.0,1,1,1,0.06999999999999999,0.04,0.015
0,37,0.0,0,0,0,0.075,0.045,0.02
0,38,0.0,1,0,0,0.08,0.049999999999999996,0.025
0,39,-0.3333333333333333,1,0,0,0.0,0.05499999999999999,0.030000000000000002
0,40,0.0,1,0,0,0.005,0.05999999999999999,0.035
0,41,0.0,0,0,0,0.01,0.06499999999999999,0.04
0,42,-0.3333333333333333,1,0,1,0.015,0.06999999999999999,0.0
0,43,-0.3333333333333333,1,1,0,0.02,0.0,0.005
0,44,0.0,0,0,0,0.025,0.005,0.01
0,45,0.0,0,0,0,0.030000000000000002,0.01,0.015
0,46,0.0,0,0,0,0.035,0.015,0.02
0,47,0.0,0,0,0,0.04,0.02,0.025
0,48,-0.3333333333333333,1,0,1,0.045,0.025,0.0
0,49,0.0,1,0,0,0.049999999999999996,0.030000000000000002,0.005
0,50,-0.3333333333333333,0,0,1,0.05499999999999999,0.035,0.0
0,51,-0.3333333333333333,1,1,1,0.05999999999999999,0.04,0.0
0,52,0.0,1,0,0,0.06499999999999999,0.045,0.005
0,53,-0.3333333333333333,1,0,1,0.06999999999999999,0.049999999999999996,0.0
0,54,-0.3333333333333333,1,0,1,0.075,0.05499999999999999,0.0
0,55,-0.6666666666666666,0,1,1,0.08,0.05999999999999999,0.005
0,56,0.0,0,1,0,0.085,0.06499999999999999,0.01
0,57,-0.6666666666666666,1,0,1,0.09000000000000001,0.06999999999999999,0.015
0,58,-0.3333333333333333,1,0,1,0.09500000000000001,0.075,0.0
0,59,-0.3333333333333333,1,0,1,0.10000000000000002,0.08,0.0
0,60,0.0,1,0,0,0.10500000000000002,0.085,0.005
0,61,0.0,1,0,0,0.11000000000000003,0.09000000000000001,0.01
0,62,0.0,1,1,0,0.11500000000000003,0.09500000000000001,0.015
0,63,-0.3333333333333333,1,0,0,0.0,0.10000000000000002,0.02
0,64,-0.3333333333333333,1,0,1,0.005,0.10500000000000002,0.0
0,65,0.0,1,1,0,0.01,0.11000000000000003,0.005
0,66,0.0,1,1,0,0.015,0.11500000000000003,0.01
0,67,-0.6666666666666666,1,1,0,0.02,0.12000000000000004,0.015
0,68,-0.3333333333333333,1,0,1,0.025,0.12500000000000003,0.0
0,69,-0.6666666666666666,1,1,1,0.030000000000000002,0.13000000000000003,0.005
0,70,-0.3333333333333333,1,0,1,0.035,0.13500000000000004,0.0
0,71,-0.3333333333333333,1,1,0,0.0,0.14000000000000004,0.005
0,72,-0.3333333333333333,1,0,1,0.005,0.14500000000000005,0.0
0,73,0.0,1,0,0,0.01,0.15000000000000005,0.005
0,74,0.0,0,0,0,0.015,0.15500000000000005,0.01
0,75,-0.3333333333333333,1,0,0,0.0,0.16000000000000006,0.015
0,76,0.0,1,1,1,0.005,0.16500000000000006,0.02
0,77,0.0,0,1,0,0.01,0.17000000000000007,0.025
0,78,0.0,0,1,0,0.015,0.17500000000000007,0.030000000000000002
0,79,-0.3333333333333333,1,1,0,0.0,0.18000000000000008,0.035
0,80,0.0,1,1,0,0.005,0.18500000000000008,0.04
0,81,0.0,1,0,0,0.01,0.19000000000000009,0.045
0,82,0.0,0,0,0,0.015,0.1950000000000001,0.049999999999999996
0,83,-0.3333333333333333,1,1,0,0.02,0.0,0.05499999999999999
