s,a,r,s_prime,done_mask
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],0,0,[0.48387097 0.51612903],1.0
[0.48387097 0.51612903],1,0,[0.48387097 0.51612903],1.0
